triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_GCa8-9-littleb-p,GCa3-11-bigB-p,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_GCa8-9-littleb-p,GCa8-9-littleb-p,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_GCa3-9-littleb-p,Lad4-1-bigB-m-majorityallele,0.0,2.368860335296512,0.3944860177095496,0.6055139822904504,0.0006188629942239712,0.0012424368932038839,-1170.3225120835782,-1167.6454728528015,103
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_GCa3-9-littleb-p,GCa3-11-bigB-p,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_GCa3-9-littleb-p,GCa3-9-littleb-p,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008136_ric-74-Ros-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.7259999999999875,0.3183187905840945,0.6816812094159053,0.0005000000000000023,0.0011400291262135922,-1202.4041906747118,-1185.3657733357106,103
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008136_ric-74-Ros-littleb,GCa3-11-bigB-p,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008136_ric-74-Ros-littleb,SRR9008136_ric-74-Ros-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008118_int-124-Car-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.7019999999999835,0.31393191658757424,0.6860680834124258,0.0005000000000000032,0.0011281274509803922,-1197.4981946630346,-1175.9630405282783,102
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008118_int-124-Car-littleb,GCa3-11-bigB-p,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008118_int-124-Car-littleb,SRR9008118_int-124-Car-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008166_int-125-Car-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.7019999999999835,0.31393191658757424,0.6860680834124258,0.0005000000000000032,0.0011281274509803922,-1197.4981946630346,-1175.9630405282783,102
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008166_int-125-Car-littleb,GCa3-11-bigB-p,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008166_int-125-Car-littleb,SRR9008166_int-125-Car-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008158_sae-47-Bel-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.328,0.756737785969041,0.24326221403095927,0.0005000000000000001,0.0006842446808510637,-1171.435750405931,-1177.4493621657323,94
