"tax1","tax2","value"
"SRR9008189-ric-105-Bol-littleb","SRR9008135-ric-76-Ros-littleb",0.368643545775936
"SRR9008135-ric-76-Ros-littleb","SRR9008189-ric-105-Bol-littleb",0.368643545775936
"AR104-1-littleb-p","Km466-8-littleb-p",0.325405044243028
"Km466-8-littleb-p","AR104-1-littleb-p",0.325405044243028
"AR104-1-littleb-p","SRR9008163-inv-225-Mis-littleb",0.309380914022272
"SRR9008163-inv-225-Mis-littleb","AR104-1-littleb-p",0.309380914022272
"SRR9008133-ric-91-Ros-littleb","SRR9008116-ric-115-Gua-littleb",0.282934931343382
"SRR9008116-ric-115-Gua-littleb","SRR9008133-ric-91-Ros-littleb",0.282934931343382
"SRR9008231-inv-215-Cor-littleb","SRR9008165-mac-143-Gua-littleb",0.276951154101854
"SRR9008165-mac-143-Gua-littleb","SRR9008231-inv-215-Cor-littleb",0.276951154101854
"SRR9008163-inv-225-Mis-littleb","SRR9008165-mac-143-Gua-littleb",0.273521687286189
"SRR9008165-mac-143-Gua-littleb","SRR9008163-inv-225-Mis-littleb",0.273521687286189
"SRR9008135-ric-76-Ros-littleb","SRR9008133-ric-91-Ros-littleb",0.262395558798403
"SRR9008133-ric-91-Ros-littleb","SRR9008135-ric-76-Ros-littleb",0.262395558798403
"AR104-1-littleb-p","SRR9008165-mac-143-Gua-littleb",0.25529295274487
"SRR9008165-mac-143-Gua-littleb","AR104-1-littleb-p",0.25529295274487
"AR104-1-littleb-p","SRR9008231-inv-215-Cor-littleb",0.243726847745797
"SRR9008231-inv-215-Cor-littleb","AR104-1-littleb-p",0.243726847745797
"SRR9008242-inv-224-Bra-littleb","SRR9008165-mac-143-Gua-littleb",0.243251840686489
"SRR9008165-mac-143-Gua-littleb","SRR9008242-inv-224-Bra-littleb",0.243251840686489
"Km466-8-littleb-p","SRR9008231-inv-215-Cor-littleb",0.230854104300749
"SRR9008231-inv-215-Cor-littleb","Km466-8-littleb-p",0.230854104300749
"Km466-8-littleb-p","SRR9008163-inv-225-Mis-littleb",0.229211299039697
"SRR9008163-inv-225-Mis-littleb","Km466-8-littleb-p",0.229211299039697
"SRR9008228-inv-199-Cor-littleb","SRR9008165-mac-143-Gua-littleb",0.227543399485682
"SRR9008165-mac-143-Gua-littleb","SRR9008228-inv-199-Cor-littleb",0.227543399485682
"SRR9008189-ric-105-Bol-littleb","SRR9008116-ric-115-Gua-littleb",0.2242966245619
"SRR9008116-ric-115-Gua-littleb","SRR9008189-ric-105-Bol-littleb",0.2242966245619
"SRR9008135-ric-76-Ros-littleb","SRR9008116-ric-115-Gua-littleb",0.221870684928188
"SRR9008116-ric-115-Gua-littleb","SRR9008135-ric-76-Ros-littleb",0.221870684928188
"SRR9008189-ric-105-Bol-littleb","SRR9008133-ric-91-Ros-littleb",0.21665446022897
"SRR9008133-ric-91-Ros-littleb","SRR9008189-ric-105-Bol-littleb",0.21665446022897
"AR104-1-littleb-p","SRR9008228-inv-199-Cor-littleb",0.216491680797463
"SRR9008228-inv-199-Cor-littleb","AR104-1-littleb-p",0.216491680797463
"SRR9008152-ric-67-Ros-bigB","SRR9008184-ric-78-Ros-bigB",0.214071607985659
"SRR9008184-ric-78-Ros-bigB","SRR9008152-ric-67-Ros-bigB",0.214071607985659
"SRR9008218-ric-99-Bol-bigB","SRR9008200-ric-88-Ros-bigB",0.210367567218259
"SRR9008200-ric-88-Ros-bigB","SRR9008218-ric-99-Bol-bigB",0.210367567218259
"Km466-8-littleb-p","SRR9008228-inv-199-Cor-littleb",0.198535601272875
"SRR9008228-inv-199-Cor-littleb","Km466-8-littleb-p",0.198535601272875
"SRR9008133-ric-91-Ros-littleb","SRR9008242-inv-224-Bra-littleb",0.198280813983186
"SRR9008242-inv-224-Bra-littleb","SRR9008133-ric-91-Ros-littleb",0.198280813983186
"SRR9008189-ric-105-Bol-littleb","SRR9008242-inv-224-Bra-littleb",0.196169384794512
"SRR9008242-inv-224-Bra-littleb","SRR9008189-ric-105-Bol-littleb",0.196169384794512
"U13-1-littleb-p","SRR9008135-ric-76-Ros-littleb",0.195392798448059
"SRR9008135-ric-76-Ros-littleb","U13-1-littleb-p",0.195392798448059
"U13-1-littleb-p","SRR9008189-ric-105-Bol-littleb",0.1939790545118
"SRR9008189-ric-105-Bol-littleb","U13-1-littleb-p",0.1939790545118
"SRR9008231-inv-215-Cor-littleb","SRR9008242-inv-224-Bra-littleb",0.185600957728916
"SRR9008242-inv-224-Bra-littleb","SRR9008231-inv-215-Cor-littleb",0.185600957728916
"SRR9008116-ric-115-Gua-littleb","SRR9008242-inv-224-Bra-littleb",0.185577550327661
"SRR9008242-inv-224-Bra-littleb","SRR9008116-ric-115-Gua-littleb",0.185577550327661
"SRR9008116-ric-115-Gua-littleb","SRR9008228-inv-199-Cor-littleb",0.182159425723432
"SRR9008228-inv-199-Cor-littleb","SRR9008116-ric-115-Gua-littleb",0.182159425723432
"SRR9008135-ric-76-Ros-littleb","SRR9008242-inv-224-Bra-littleb",0.181053300927575
"SRR9008242-inv-224-Bra-littleb","SRR9008135-ric-76-Ros-littleb",0.181053300927575
"AR172-1-littleb-p","SRR9008135-ric-76-Ros-littleb",0.179776083869206
"SRR9008135-ric-76-Ros-littleb","AR172-1-littleb-p",0.179776083869206
"SRR9008163-inv-225-Mis-littleb","SRR9008242-inv-224-Bra-littleb",0.178853844718985
"SRR9008242-inv-224-Bra-littleb","SRR9008163-inv-225-Mis-littleb",0.178853844718985
"Km466-8-littleb-p","SRR9008165-mac-143-Gua-littleb",0.176440657925554
"SRR9008165-mac-143-Gua-littleb","Km466-8-littleb-p",0.176440657925554
"U13-1-littleb-p","SRR9008133-ric-91-Ros-littleb",0.175724544199873
"SRR9008133-ric-91-Ros-littleb","U13-1-littleb-p",0.175724544199873
"U94-1-littleb-p","SRR9008189-ric-105-Bol-littleb",0.173192540658572
"SRR9008189-ric-105-Bol-littleb","U94-1-littleb-p",0.173192540658572
"U94-1-littleb-p","SRR9008135-ric-76-Ros-littleb",0.172933746889306
"SRR9008135-ric-76-Ros-littleb","U94-1-littleb-p",0.172933746889306
"SRR9008189-ric-105-Bol-littleb","SRR9008228-inv-199-Cor-littleb",0.171655781262358
"SRR9008228-inv-199-Cor-littleb","SRR9008189-ric-105-Bol-littleb",0.171655781262358
"SRR9008135-ric-76-Ros-littleb","SRR9008228-inv-199-Cor-littleb",0.171070608021379
"SRR9008228-inv-199-Cor-littleb","SRR9008135-ric-76-Ros-littleb",0.171070608021379
"U13-1-littleb-p","SRR9008116-ric-115-Gua-littleb",0.170282325649908
"SRR9008116-ric-115-Gua-littleb","U13-1-littleb-p",0.170282325649908
"Km466-8-littleb-p","SRR9008173-mac-146-Col-littleb",0.166515792715419
"SRR9008173-mac-146-Col-littleb","Km466-8-littleb-p",0.166515792715419
"SRR9008189-ric-105-Bol-littleb","SRR9008165-mac-143-Gua-littleb",0.164132867191261
"SRR9008165-mac-143-Gua-littleb","SRR9008189-ric-105-Bol-littleb",0.164132867191261
"SRR9008133-ric-91-Ros-littleb","SRR9008228-inv-199-Cor-littleb",0.163500576687288
"SRR9008228-inv-199-Cor-littleb","SRR9008133-ric-91-Ros-littleb",0.163500576687288
"SRR9008116-ric-115-Gua-littleb","SRR9008165-mac-143-Gua-littleb",0.161463663037031
"SRR9008165-mac-143-Gua-littleb","SRR9008116-ric-115-Gua-littleb",0.161463663037031
"U94-1-littleb-p","U13-1-littleb-p",0.159615329278497
"U13-1-littleb-p","U94-1-littleb-p",0.159615329278497
"SRR9008135-ric-76-Ros-littleb","SRR9008165-mac-143-Gua-littleb",0.157901422816966
"SRR9008165-mac-143-Gua-littleb","SRR9008135-ric-76-Ros-littleb",0.157901422816966
"SRR9008116-ric-115-Gua-littleb","SRR9008231-inv-215-Cor-littleb",0.15491851122326
"SRR9008231-inv-215-Cor-littleb","SRR9008116-ric-115-Gua-littleb",0.15491851122326
"SRR9008165-mac-143-Gua-littleb","U14-1-littleb-p",0.154023428406453
"U14-1-littleb-p","SRR9008165-mac-143-Gua-littleb",0.154023428406453
"SRR9008116-ric-115-Gua-littleb","SRR9008163-inv-225-Mis-littleb",0.152277000768893
"SRR9008163-inv-225-Mis-littleb","SRR9008116-ric-115-Gua-littleb",0.152277000768893
"SRR9008135-ric-76-Ros-littleb","SRR9008163-inv-225-Mis-littleb",0.147776860757589
"SRR9008163-inv-225-Mis-littleb","SRR9008135-ric-76-Ros-littleb",0.147776860757589
"SRR9008189-ric-105-Bol-littleb","SRR9008163-inv-225-Mis-littleb",0.146328230840133
"SRR9008163-inv-225-Mis-littleb","SRR9008189-ric-105-Bol-littleb",0.146328230840133
"SRR9008135-ric-76-Ros-littleb","SRR9008231-inv-215-Cor-littleb",0.144814153269375
"SRR9008231-inv-215-Cor-littleb","SRR9008135-ric-76-Ros-littleb",0.144814153269375
"SRR9008133-ric-91-Ros-littleb","SRR9008165-mac-143-Gua-littleb",0.144215245855538
"SRR9008165-mac-143-Gua-littleb","SRR9008133-ric-91-Ros-littleb",0.144215245855538
"SRR9008228-inv-199-Cor-littleb","SRR9008242-inv-224-Bra-littleb",0.142944683294545
"SRR9008242-inv-224-Bra-littleb","SRR9008228-inv-199-Cor-littleb",0.142944683294545
"SRR9008189-ric-105-Bol-littleb","SRR9008231-inv-215-Cor-littleb",0.141504525834418
"SRR9008231-inv-215-Cor-littleb","SRR9008189-ric-105-Bol-littleb",0.141504525834418
"SRR9008218-ric-99-Bol-bigB","SRR9008155-ric-73-Ros-bigB",0.140882882861736
"SRR9008155-ric-73-Ros-bigB","SRR9008218-ric-99-Bol-bigB",0.140882882861736
"SRR9008133-ric-91-Ros-littleb","SRR9008231-inv-215-Cor-littleb",0.139671793101088
"SRR9008231-inv-215-Cor-littleb","SRR9008133-ric-91-Ros-littleb",0.139671793101088
"SRR9008116-ric-115-Gua-littleb","U14-1-littleb-p",0.139177089470691
"U14-1-littleb-p","SRR9008116-ric-115-Gua-littleb",0.139177089470691
"SRR9008135-ric-76-Ros-littleb","AR104-1-littleb-p",0.138814216061821
"AR104-1-littleb-p","SRR9008135-ric-76-Ros-littleb",0.138814216061821
"SRR9008200-ric-88-Ros-bigB","SRR9008159-ric-118-Sal-bigB",0.138153270693097
"SRR9008159-ric-118-Sal-bigB","SRR9008200-ric-88-Ros-bigB",0.138153270693097
"SRR9008133-ric-91-Ros-littleb","SRR9008163-inv-225-Mis-littleb",0.137194997154342
"SRR9008163-inv-225-Mis-littleb","SRR9008133-ric-91-Ros-littleb",0.137194997154342
"SRR9008116-ric-115-Gua-littleb","AR104-1-littleb-p",0.136310342148292
"AR104-1-littleb-p","SRR9008116-ric-115-Gua-littleb",0.136310342148292
"SRR9008135-ric-76-Ros-littleb","U14-1-littleb-p",0.135467407403246
"U14-1-littleb-p","SRR9008135-ric-76-Ros-littleb",0.135467407403246
"SRR9008189-ric-105-Bol-littleb","AR104-1-littleb-p",0.135270177414925
"AR104-1-littleb-p","SRR9008189-ric-105-Bol-littleb",0.135270177414925
"AR104-1-littleb-p","SRR9008242-inv-224-Bra-littleb",0.134488668497289
"SRR9008242-inv-224-Bra-littleb","AR104-1-littleb-p",0.134488668497289
"AR104-1-littleb-p","U14-1-littleb-p",0.132038965556774
"U14-1-littleb-p","AR104-1-littleb-p",0.132038965556774
"SRR9008163-inv-225-Mis-littleb","SRR9008173-mac-146-Col-littleb",0.130133942647821
"SRR9008173-mac-146-Col-littleb","SRR9008163-inv-225-Mis-littleb",0.130133942647821
"U13-1-littleb-p","AR172-1-littleb-p",0.129256962206104
"AR172-1-littleb-p","U13-1-littleb-p",0.129256962206104
"SRR9008189-ric-105-Bol-littleb","U14-1-littleb-p",0.12913510849381
"U14-1-littleb-p","SRR9008189-ric-105-Bol-littleb",0.12913510849381
"SRR9008163-inv-225-Mis-littleb","U14-1-littleb-p",0.128730714089091
"U14-1-littleb-p","SRR9008163-inv-225-Mis-littleb",0.128730714089091
"U94-1-littleb-p","AR172-1-littleb-p",0.128464716074262
"AR172-1-littleb-p","U94-1-littleb-p",0.128464716074262
"SRR9008116-ric-115-Gua-littleb","Km466-8-littleb-p",0.127264404591114
"Km466-8-littleb-p","SRR9008116-ric-115-Gua-littleb",0.127264404591114
"SRR9008189-ric-105-Bol-littleb","Km466-8-littleb-p",0.126288730881182
"Km466-8-littleb-p","SRR9008189-ric-105-Bol-littleb",0.126288730881182
"SRR9008228-inv-199-Cor-littleb","U14-1-littleb-p",0.124127833232976
"U14-1-littleb-p","SRR9008228-inv-199-Cor-littleb",0.124127833232976
"U94-1-littleb-p","SRR9008133-ric-91-Ros-littleb",0.123291046528406
"SRR9008133-ric-91-Ros-littleb","U94-1-littleb-p",0.123291046528406
"SRR9008135-ric-76-Ros-littleb","Km466-8-littleb-p",0.12255693516938
"Km466-8-littleb-p","SRR9008135-ric-76-Ros-littleb",0.12255693516938
"U94-1-littleb-p","SRR9008116-ric-115-Gua-littleb",0.122441171056571
"SRR9008116-ric-115-Gua-littleb","U94-1-littleb-p",0.122441171056571
"AR172-1-littleb-p","SRR9008116-ric-115-Gua-littleb",0.121457211336962
"SRR9008116-ric-115-Gua-littleb","AR172-1-littleb-p",0.121457211336962
